hub_id,in_degree,out_degree,betweenness_centrality,clustering_coefficient,pagerank,total_hub_trips,total_sla_breach_trips,breach_rate_%,risk_tier
IND680587AAA,2,3,0.0011963702919143512,0.3333333333333333,0.0006157677841618465,11.0,7.0,63.6,Low Risk
IND680104AAA,2,2,0.0004018140980426399,0.0,0.0005007339141677204,9.0,7.0,77.8,Low Risk
IND271210AAA,3,2,3.780000922320225e-07,1.0,0.0009703787225310531,9.0,7.0,77.8,Low Risk
IND246424AAA,2,2,3.780000922320225e-07,1.0,0.0008338607433432907,8.0,7.0,87.5,Low Risk
IND600116AAB,7,5,0.0027987126828858946,0.1,0.0009424072477037931,11.0,7.0,63.6,Low Risk
IND210427AAA,1,1,0.0007979581947017995,0.0,0.0004944459466472966,7.0,7.0,100.0,Low Risk
IND611001AAA,1,1,0.0027907746809490218,0.0,0.0005506453771720181,7.0,7.0,100.0,Low Risk
IND602024AAA,2,3,0.00040105809785817586,1.0,0.00040661501939741524,10.0,7.0,70.0,Low Risk
IND624619AAA,2,1,7.56000184464045e-06,0.6666666666666666,0.0005686878286036098,7.0,7.0,100.0,Low Risk
IND624202AAA,1,1,2.2680005533921347e-06,0.0,0.0002878504652774875,7.0,7.0,100.0,Low Risk
IND205135AAA,3,3,0.00040105809785817586,0.0,0.0006079635197893346,12.0,7.0,58.3,Low Risk
IND181201AAB,2,2,0.0,0.0,0.0005735943443433682,8.0,7.0,87.5,Low Risk
IND425409AAA,2,3,9.450002305800563e-07,0.6,0.00017444228103054806,9.0,7.0,77.8,Low Risk
IND416606AAA,2,2,0.0,0.0,0.0005113526046194203,8.0,7.0,87.5,Low Risk
IND843320AAA,3,2,0.0011982602923755112,0.6666666666666666,0.0011509923500141852,8.0,7.0,87.5,Low Risk
IND843329AAB,2,2,0.0,1.0,0.0003261672886175912,10.0,7.0,70.0,Low Risk
IND000000AAL,4,4,0.0,0.0,0.0008374222541560853,14.0,7.0,50.0,Low Risk
IND000000ABD,2,2,0.00039916809739701573,0.0,0.000537669680401999,8.0,6.0,75.0,Low Risk
IND828401AAB,1,1,0.0,0.0,0.00022539217949578655,6.0,6.0,100.0,Low Risk
IND815353AAA,2,4,0.0006317326541427656,0.6666666666666666,0.00045910140386946734,10.0,6.0,60.0,Low Risk
IND451666AAA,0,2,0.0,1.0,0.00012114567835132603,7.0,6.0,85.7,Low Risk
IND431203AAA,2,3,0.0,1.0,0.0003632333454771058,9.0,6.0,66.7,Low Risk
IND821307AAA,1,1,0.0,0.0,0.00026527653034641457,6.0,6.0,100.0,Low Risk
IND127021AAA,2,1,0.0012001502928366714,0.3333333333333333,0.0004364152381914077,6.0,6.0,100.0,Low Risk
IND110014AAA,2,2,0.0,0.0,0.001519690247263177,10.0,6.0,60.0,Low Risk
IND802301AAA,1,1,3.780000922320225e-07,0.0,0.00022412632918316207,6.0,6.0,100.0,Low Risk
IND000000AEM,0,5,0.0,0.0,0.00012114567835132603,15.0,6.0,40.0,Low Risk
IND431112AAB,3,2,0.0,1.0,0.0005606710103663461,8.0,6.0,75.0,Low Risk
IND781124AAA,1,1,0.00019977304874462388,0.0,0.00016732067472012237,6.0,6.0,100.0,Low Risk
IND202001AAB,7,7,0.0030925465545813408,0.26666666666666666,0.0011825294184415525,16.0,6.0,37.5,Low Risk
IND000000AFR,0,2,0.0,0.0,0.00012114567835132603,8.0,6.0,75.0,Low Risk
IND816109AAA,3,2,0.0011967482920065833,0.0,0.000936301400459834,8.0,6.0,75.0,Low Risk
IND122001AAD,2,2,0.0,1.0,0.000358589311793354,8.0,6.0,75.0,Low Risk
IND631501AAA,1,2,0.00040105809785817586,1.0,0.000214594740651577,7.0,6.0,85.7,Low Risk
IND600056AAA,2,1,0.0004018140980426399,0.0,0.0005349431736112781,6.0,6.0,100.0,Low Risk
IND411014AAA,7,6,0.0015996963903259192,0.0,0.0018877074742778362,20.0,6.0,30.0,Low Risk
IND606803AAA,2,2,0.00040105809785817586,0.0,0.00024793340431297415,10.0,6.0,60.0,Low Risk
IND609110AAA,1,1,0.0027945546818713423,0.0,0.0004519486532706967,6.0,6.0,100.0,Low Risk
IND415408AAC,2,2,0.00039916809739701573,1.0,0.0007505801963636188,8.0,6.0,75.0,Low Risk
IND603203AAA,2,4,0.00039954609748924777,0.3333333333333333,0.0003544591758638474,11.0,6.0,54.5,Low Risk
IND632301AAA,2,3,0.0008017381956241196,0.0,0.0003043479999950694,10.0,6.0,60.0,Low Risk
IND641011AAA,1,2,2.8350006917401688e-06,1.0,0.00021996623619447174,7.0,6.0,85.7,Low Risk
IND678683AAA,2,2,0.00040105809785817586,0.0,0.0004895013326859785,9.0,6.0,66.7,Low Risk
